12	WiFi Router	ALFA Network	AP120C		Available 2020	18.06.9		Atheros AR9344	533	1	16	128	-	1	b/g/n	a/n	2x2	Atheros AR9344	-	-		ap120c	https://forum.openwrt.org/viewtopic.php?pid=270401	View/Edit data
13	Switch	ALLNET	ALL-SG8208M		unknown 2021	21.02.0		Realtek RTL8380M	500	1	16	128	-	8	-	-			-	-	http://¿			View/Edit data
14		Amped Wireless	ALLY-R1900K		unknown 2022	21.02.3		MediaTek MT7621AT	880	2	128NAND	128	-	4	b/g/n	a/n/ac		MediaTek MT7615N	-	1x 3.0	https://ampedwireless.com/ally-r1900.html			View/Edit data
15		Amped Wireless	ALLY-00X19K		unknown 2022	21.02.3		MediaTek MT7621AT	880	2	128NAND	128	-	1	b/g/n	a/n/ac		MediaTek MT7615N	-		https://ampedwireless.com/ally-r1900.html			View/Edit data
16	WiFi AP	Araknis	AN-700-AP-I-AC		unknown 2022	snapshot		Qualcomm Atheros QCA9558	720	1	16	128	-	1	b/g/n	a/n/ac		Qualcomm Atheros QCA9558, Qualcomm Atheros QCA9880	¿	¿	http://¿			View/Edit data
17	WiFi AP	Araknis	AN-300-AP-I-N		unknown 2022	snapshot		AR9344	¿	1	16	128	-	1	b/g/n	a/n/ac		Atheros AR9344, Atheros AR9382	¿	¿	http://¿			View/Edit data
18	WiFi AP	Araknis	AN-500-AP-I-AC		unknown 2022	snapshot		Qualcomm Atheros QCA9557	¿	1	16	128	-	1	b/g/n	a/n/ac		Qualcomm Atheros QCA9557, Qualcomm Atheros QCA9882	-	-	http://¿			View/Edit data
19	WiFi Router	Arcadyan / Astoria	ARV7519RW22 (Livebox 2.1)		unknown 2018	19.07.10	WiFi 2.4GHz	Lantiq XWAY VRX288	500	2	32	128	4	1	b/g/n	-	2x2 MIMO	Lantiq XWAY WAVE300	ADSL2+ Annex A	2x 2.0		arv7519rw22		View/Edit data
20	WiFi AP	Aruba	AP-303		unknown 2019	21.02.3		Qualcomm IPQ4029	716	4	128NAND	512	-	1	b/g/n	a/n/ac		Qualcomm Atheros IPQ4019	-	-	https://www.arubanetworks.com/products/networking/access-points/303-series/	ap-303		View/Edit data
21	WiFi AP	Aruba	AP-365		Available 2020	21.02.3		Qualcomm IPQ4029	716	4	128NAND	512	-	1	b/g/n	a/n/ac		Qualcomm IPQ4029	-	1x 2.0	https://www.arubanetworks.com/products/networking/access-points/360-series/	ap-365		View/Edit data
22	WiFi AP	Aruba	AP-303H		unknown 2019	21.02.3		Qualcomm IPQ4029	716	4	128NAND	512	-	1	b/g/n	a/n/ac		Qualcomm IPQ4029	-	1x 2.0	https://www.arubanetworks.com/de/products/netzwerkprodukte/access-points/aruba-303h/	ap-303h		View/Edit data
23	WiFi AP	Aruba	AP-105		Available 2019	21.02.3		Atheros AR7161	680	1	16	128	-	1	b/g/n	a/n		Atheros AR9220, Atheros AR9223	-	-		ap-105		View/Edit data
24	WiFi Router	AsiaRF	AP7621-001		Available 2019	21.02.3		MediaTek MT7621A	880	2	16	256	-	2	b/g/n	a/n/ac	MIMO	MediaTek MT7612E, MediaTek MT7621A	-	1x 3.0	https://www.asiarf.com/shop/wifi-wlan/wifi_ap_router/mt7621-enterprise-router-board-2-giga-ethernet-ports-3-mini-pcie-usb-2-0-usb-3-0-gps-ap7621-001-1/			View/Edit data
25	Router	AsiaRF	AP7621-002		Available 2020	18.06.0		MediaTek MT7621A	880	2	16	512	-	5	b/g/n	a/n/ac	MIMI WAVE2	MediaTek MT7612E, MediaTek MT7615E	-	1x 2.0 Device, 1x 3.0	https://www.asiarf.com/shop/wifi-wlan/wifi_ap_router/wifi-router-board-mt7621-rs232-rs485-ap7621-002-manufacturer/	ap7621-002		View/Edit data
26	WiFi Router	AsiaRF	AP7621-IL1	1	Available 2020	snapshot		MediaTek MT7621A	880	2	16	512	¿	2	b/g/n	a/n/ac		MediaTek MT7615N	¿	1x 3.0, Yes	http://¿			View/Edit data
27	Router	AsiaRF	AP7621-NV1		Available 2019	21.02.3		MediaTek MT7621A	880	2	16, microSDXC	512	-	3	b/g/n	a/n/ac	3x mini-PCIe	¿	-	1x 2.0 Device, 1x 3.0	https://www.asiarf.com/shop/wifi-wlan/wifi_ap_router/mt7621-enterprise-router-board-poe-pse-pd-3-giga-ethernet-ports-3-mini-pcie-usb-2-0-usb-3-0-gps-ap7621-nv1-1/			View/Edit data
28	WiFi Router	AsiaRF	AP7623-A02		Available 2020	21.02.3		MediaTek MT7623A	1300	4	8192 eMMC	512	-	5	b/g/n	a/n/ac	MIMO WAVE2	MediaTek MT7612E, MediaTek MT7615E	¿	1x 2.0 Device, 1x 3.0	https://www.asiarf.com/shop/wifi-wlan/wifi_ap_router/wifi-router-board-openwrt-arm-cortex-a7-1-3ghz-mt7623a-ap7623-a02/	ap7623-a02		View/Edit data
29	WiFi Router	Askey	RT4230W	REV6	Available 2020	snapshot		Qualcomm Atheros IPQ8065	1700	2	512	1024	-	5	b/g/n	a/n/ac	Wifi card is actually 2 identical chips with their own miniPCIe connections	Qualcomm Atheros QCA9984 x2	-	1x 3.0	https://www.askey.com.tw/wireless_RT4230W.html	rt4230w_rev6	https://forum.openwrt.org/t/askey-rac2v1k-support/15830	View/Edit data
30	WiFi Router	ASUS	RT-AC85P		Available 2019	21.02.3		MediaTek MT7621AT	880	2	128NAND	256	-	5	b/g/n	a/n/ac		MediaTek MT7615N	-	1x 3.0	https://www.asus.com/Networking/RT-AC85P/	rt-ac85p		View/Edit data
31	WiFi Router	ASUS	GT-AC5300		Available 2021	21.02.3	WiFi 2.4GHz, WiFi 5GHz	Broadcom BCM4908	1800	4	256NAND	1024	-	9	b/g/n	a/n/ac		Broadcom BCM4366E	-	2x 3.0	https://rog.asus.com/us/networking/rog-rapture-gt-ac5300-model/			View/Edit data
32	WiFi Router	ASUS	Lyra (MAP-AC2200)		Available 2019	21.02.3		Qualcomm IPQ4019	717	4	128NAND	256	-	2	b/g/n	a/n/ac		Qualcomm Atheros IPQ4019, Qualcomm Atheros QCA9886	-	-	https://www.asus.com/Networking/Lyra/	lyra_map-ac2200		View/Edit data
33	WiFi Router	ASUS	RT-AC57U	v1	Available 2019	21.02.3		MediaTek MT7621AT	880	2	16	128	-	5	b/g/n	a/n/ac		MediaTek MT7603EN, MediaTek MT7612EN	-	1x 2.0	https://www.asus.com/Networking/RT-AC57U/	rt-ac57u		View/Edit data
34	WiFi Router	ASUS	RT-AC58U		Available 2019	21.02.3		Qualcomm Atheros IPQ4018 or IPQ4019	717	4	128	128	-	5	b/g/n	a/n/ac		Qualcomm Atheros IPQ4018 or IPQ4019	-	1x 3.0	https://www.asus.com/Networking/RT-AC58U/	rt-ac58u	https://forum.openwrt.org/t/asus-rt-ac58u-crashes-under-heavy-load-after-a-while/33008?u=tmomas	View/Edit data
35	WiFi Router	ASUS	RT-AC65P		Available 2019	21.02.3		MediaTek MT7621AT	880	2	128NAND	256	-	5	b/g/n	a/n/ac		MediaTek MT7615N	-	1x 3.0	https://www.asus.com/Networking/RT-AC65P/	rt-ac85p		View/Edit data
36	WiFi Router	ASUS	RT-AC68U	v1	Available 2019	21.02.3	WiFi 2.4GHz partly, WiFi 5GHz	Broadcom BCM4708A0	800	2	128NAND	256	-	5	b/g/n	a/n/ac		Broadcom BCM4360	-	1x 2.0, 1x 3.0	https://www.asus.com/Networking/RTAC68U/	rt-ac68u	https://forum.openwrt.org/viewtopic.php?id=51005, https://forum.openwrt.org/viewtopic.php?id=52378	View/Edit data
37	WiFi Router	ASUS	RT-AC87U		Available 2019	21.02.3	WiFi 2.4GHz partly, WiFi 5GHz	Broadcom BCM4709A0	1000	2	128NAND	256	-	5	b/g/n	a/n/ac		Broadcom BCM4360, Quantenna QT2518B, Quantenna QT3840BC	-	1x 2.0, 1x 3.0	https://www.asus.com/Networking/RTAC87U/	rt-ac87u	https://forum.openwrt.org/viewtopic.php?id=52537	View/Edit data
38	WiFi Router	ASUS	RT-N18U	A1	Available 2019	21.02.3	WiFi 2.4GHz partly	Broadcom BCM47081A0	800	1	128NAND	256	-	5	b/g/n	-		Broadcom BCM4360	-	1x 2.0, 1x 3.0	https://www.asus.com/Networking/RTN18U/	rt-n18u	https://forum.openwrt.org/viewtopic.php?id=53417	View/Edit data
39	WiFi Router	ASUS	RT-N56U	B1	unknown 2020	21.02.3		MediaTek MT7621ST	880	1	16	128	-	5	b/g/n	a/n/ac		MediaTek MT7603EN, MediaTek MT7612EN	-	2x 2.0	https://www.asus.com/uk/Networking/RTN56U_B1	rt-n56u_b1		View/Edit data
40	WiFi Router	ASUS	RT-ACRH13		Available 2019	21.02.3		Qualcomm Atheros IPQ4018	710	4	128	128	-	5	b/g/n	a/n/ac		Qualcomm Atheros IPQ4018	-	1x 3.0	https://www.asus.com/us/Networking/RT-ACRH13/	rt-ac58u	https://forum.openwrt.org/t/support-for-asus-wireless-ac1300-rt-acrh13/1133/13	View/Edit data
41	WiFi Router	ASUS	RT-AC1300UHP		Available 2019	21.02.3		Qualcomm Atheros IPQ4018	716	4	128	256	-	5	b/g/n	a/n/ac		Qualcomm Atheros IPQ4018	-	1x 3.0	https://www.asus.com/Networking/RT-AC1300UHP/specifications/	rt-ac58u		View/Edit data
42	WiFi Router	ASUS	RT-AC42U		unknown 2022	snapshot		Qualcomm Atheros IPQ4019	717	4	128NAND	256	-	5	b/g/n	a/n/ac		Qualcomm Atheros IPQ4019, Qualcomm Atheros QCA9984	-	1x 3.0	http://¿			View/Edit data
43	WiFi Router	Atlantis	A02-RB-W300N	v1.0	unknown 2018	19.07.7		Atheros AR9130	¿	1	¿	¿	5	-	b/g/n	-		¿	-	-	http://www.atlantisland.it/pub/prodotti.php?famiglia=1&l1=2&l2=3&articolo=QTAyLVJCLVczMDBO			View/Edit data
44	WiFi Router	AVM	FRITZ!Box 3490		unknown 2021	PR pending		Lantiq XWAY VRX288 / PSB 80920 EL	500	2	512NAND, 8	256	-	4	b/g/n	a/n/ac		Qualcomm Atheros QCA9558, Qualcomm Atheros QCA9880	VDSL2	2x 3.0			https://forum.openwrt.org/t/port-to-avm-fritz-box-3490/52692	View/Edit data
45	WiFi Router	AVM	FRITZ!Box 4040		Available 2019	21.02.3		Qualcomm Atheros IPQ4018	638	4	32	256	-	5	b/g/n	a/n/ac		Qualcomm Atheros IPQ4018	-	1x 2.0, 1x 3.0	https://avm.de/produkte/fritzbox/fritzbox-4040/	avm_fritz_box_4040	https://forum.openwrt.org/t/fritz-box-4040-experiences/64487	View/Edit data
46	WiFi Router	AVM	FRITZ!Box 7530		Available 2019	21.02.3	DECT, DSL modem	Qualcomm IPQ4019	716	4	128NAND	256	-	4	b/g/n	a/n/ac		Qualcomm IPQ4019	xDSL	1x 3.0	https://avm.de/produkte/fritzbox/fritzbox-7530/	avm_fritz_box_7530		View/Edit data
47	Range Extender	AVM	FRITZ!Repeater 1200		Available 2019	21.02.3		Qualcomm IPQ4019	717	4	128NAND	256	-	1	b/g/n	a/n/ac		Qualcomm IPQ4019	-	-	https://avm.de/produkte/fritzwlan/fritzrepeater-1200/	avm_fritz_repeater_1200		View/Edit data
48	Range Extender	AVM	FRITZ!Repeater 3000		Available 2019	21.02.3		Qualcomm IPQ4019	717	4	128NAND	256	-	2	b/g/n	a/n/ac		Qualcomm Atheros IPQ4019, Qualcomm Atheros QCA9984	-	-	https://avm.de/produkte/fritzwlan/fritzrepeater-3000/			View/Edit data
49	WiFi Router	AVM	FRITZ!Box 7490		Available 2019	PR pending		Lantiq XWAY VRX288 / PSB 80920 EL	500	2	512NAND, 8	256	-	4	b/g/n	a/n/ac		Qualcomm Atheros QCA9558, Qualcomm Atheros QCA9880	VDSL2	2x 3.0	https://en.avm.de/products/fritzbox/fritzbox-7490/technical-data/	fritz.box.7490	https://forum.openwrt.org/t/support-fritzbox-7490/4112	View/Edit data
50	WiFi Router	AVM	FRITZ!Box 4020		Available 2019	21.02.3	USB	Qualcomm Atheros QCA9561	750	1	16	128	5	-	b/g/n	-		Qualcomm Atheros QCA9561	-	1x 2.0	https://avm.de/produkte/fritzbox/fritzbox-4020/	fritz.box.4020		View/Edit data
51	WiFi Router	AVM	FRITZ!Box 7520		unknown 2022	snapshot	DECT, DSL modem	Qualcomm IPQ4019	716	4	128NAND	256	-	4	b/g/n	a/n/ac		Qualcomm IPQ4019	xDSL	1x 3.0	http://¿			View/Edit data
52	Single Board Computer	Avnet	ZedBoard		Available 2019	21.02.3		Xilinx XC7Z020	667	2	256, SD	512	-	1	-	-		-	-	1x OTG	http://zedboard.org/product/zedboard			View/Edit data
53	WiFi Router	BDCOM	WAP2100-SK		unknown 2018	21.02.3		MediaTek MT7620A	580	1	16, SD	128	5	-	b/g/n	-		¿	-	1x 2.0	http://www.bdcom.cn/products_detail/productId=95.html			View/Edit data
54	WiFi Router	Beeline	Smartbox Flash		Available 2022	snapshot		MediaTek MT7621A	880	2	128NAND	256	-	3	b/g/n	a/n/ac	DBDC, MIMO 2x2 2.4 and 5 GHz	MediaTek MT7615DN	-	1x 3.0	https://moskva.beeline.ru/customers/pomosh/home/domashnij-internet/nastrojki-s-routerom/smart-box-flash/	smartbox_flash	https://forum.openwrt.org/t/add-support-for-beeline-smartbox-flash/	View/Edit data
55	WiFi Router	Beeline	SmartBox PRO		unknown 2022	PR pending		MT7621AT	880	2	256	256	-	5	b/g/n	a/n/ac	MIMO 2x2	MediaTek MT7602EN, MediaTek MT7612EN	-	2x 2.0	https://moskva.beeline.ru/customers/pomosh/home/domashnij-internet/nastrojki-s-routerom/beelinesmartboxpro-weblogin/	smartbox_pro	https://forum.openwrt.org/t/adding-support-for-sercomm-s1500-clones-beeline-smartbox-pro-wifire-s1500-nbn/110065/2	View/Edit data
56	WiFi Router	Belkin	RT3200		Available 2021	snapshot		MediaTek MT7622BV	1350	2	128NAND	512	-	5	b/g/n	a/n/ac/ax		MediaTek MT7622BV, MediaTek MT7915E	-	1x 2.0	https://www.belkin.com/us/p/P-RT3200/	e8450	https://forum.openwrt.org/t/belkin-rt3200-linksys-e8450-wifi-ax-discussion/94302	View/Edit data
57	WiFi Router	Belkin	F9J1108	v2	unknown 2020	21.02.3		Qualcomm Atheros QCA9558	720	1	16	128	-	5	b/g/n	a/n/ac		Qualcomm Atheros QCA9558-ATA4, Qualcomm Atheros QCA9880-2R4E	ADSL2+	1x 2.0, 1x 3.0	http://¿			View/Edit data
58	WiFi Router	BT	Home Hub 5	Type A	unknown 2018	21.02.3		Lantiq XWAY VRX268	500	2	128NAND	128	-	5	b/g/n	a/n/ac		Atheros AR9287, Qualcomm Atheros QCA9880	VDSL2	1x 2.0		homehub_v5a		View/Edit data
59	WiFi Router	Buffalo	WSR-2533DHP2		unknown 2021	snapshot		MediaTek MT7622	1350	2	128NAND	256	-	5	b/g/n	a/n/ac		MediaTek MT7615, MediaTek MT7622	-	-	https://www.buffalo.jp/product/detail/wsr-2533dhp2-cb.html			View/Edit data
60	WiFi Router	Buffalo	WXR-2533DHP		unknown 2018	21.02.3		Qualcomm Atheros IPQ8064	1400	2	256	512	-	5	b/g/n	a/n/ac		Qualcomm Atheros QCA9880	-	2x 3.0				View/Edit data
61	WiFi Router	Buffalo	WXR-1900DHP		unknown 2018	21.02.3	WiFi 2.4GHz partly, WiFi 5GHz	Broadcom BCM4709A0	1000	2	128	512	-	5	b/g/n	a/n/ac		Broadcom BCM4360	-	1x 2.0, 1x 3.0				View/Edit data
62	WiFi Router	Buffalo	WZR-900DHP		unknown 2018	21.02.3	WiFi 2.4GHz partly, WiFi 5GHz	Broadcom BCM47081A0	800	1	128	256	-	5	b/g/n	a		Broadcom BCM4331	-	1x 3.0			https://forum.openwrt.org/viewtopic.php?id=54456	View/Edit data
63	WiFi Router	Buffalo	WSR-1166DHP		unknown 2018	21.02.3		MediaTek MT7621A	880	2	16	128	-	5	b/g/n	a/n/ac		MediaTek MT7603E, MediaTek MT7612E	-	-		wsr-1166dhp	https://forum.openwrt.org/viewtopic.php?id=62413	View/Edit data
64	WiFi Router	Buffalo	WZR-450HP2		unknown 2018	19.07.10		Qualcomm Atheros QCA9558	720	1	16	128	-	5	b/g/n	-		Qualcomm Atheros QCA9558	¿	¿		wzr-450hp2		View/Edit data
65	WiFi Router	Buffalo	WTR-M2133HP		Available 2020	21.02.3		Qualcomm IPQ4019	717	4	128NAND	512	-	4	b/g/n	a/n/ac		Qualcomm Atheros QCA4019, Qualcomm Atheros QCA9884	-	1x 3.0	https://www.buffalo.jp/product/detail/wtr-m2133hp.html			View/Edit data
66	WiFi Router	Buffalo	WSR-2533DHPL		Available 2020	21.02.3		MediaTek MT7621A	880	2	16	128	-	5	b/g/n	a/n/ac		MediaTek MT7615N	-	-	https://www.buffalo.jp/product/detail/wsr-2533dhpl.html	wsr-2533dhpl		View/Edit data
67	WiFi Router	Cell C	RTL30VW		unknown 2020	21.02.3		Qualcomm IPQ4019	¿	4	128NAND, 16	256	-	2	b/g/n	a/n/ac		Qualcomm Atheros QCA4019	LTE	2x 2.0	http://¿	rtl30vw		View/Edit data
68	NAS	Cloud Engines	Pogoplug V2	POGO-E02	unknown 2018	21.02.3		Marvell 88F6281	1200	1	128	256	-	1	-	-		-	-	4x 2.0		pogoplug		View/Edit data
69	NAS	Cloud Engines	Pogoplug V4	POGO-V4-A3-01, POGO-V4-A3-02	Available 2020	21.02.3		Marvell 88F6192	800	1	128NAND, SD	128	-	1	-	-		-	-	1x 2.0, 2x 3.0		pogoplug_v4		View/Edit data
70	NAS	Cloud Engines	Pogoplug Mobile	POGO-V4-A1-01	unknown 2018	21.02.3		Marvell 88F6192	800	1	128NAND	128	-	1	-	-		-	-	1x 2.0		pogoplug_v4	https://forum.openwrt.org/viewtopic.php?id=51769	View/Edit data
71	WiFi AP	COMFAST	CF-E380AC	v2	Available 2020	19.07.10		Qualcomm Atheros QCA9558	720	1	16	256	-	1	b/g/n	a/n/ac		Qualcomm Atheros QCA9558, Qualcomm Atheros QCA9880	-	-	http://en.comfast.com.cn/product/WirelessNetworkBridge/item-219.html			View/Edit data
72	WiFi AP	COMFAST	CF-E355AC	v2	Available 2019	19.07.10		Qualcomm Atheros QCA9531	650	1	16	128	2	-	b/g/n	a/n/ac		Qualcomm Atheros QCA9531, Qualcomm Atheros QCA9886	-	-	http://en.comfast.com.cn/product/WirelessAP/item-218.html			View/Edit data
73	WiFi AP	COMFAST	CF-E385AC		Available 2019	19.07.10	LAN interface if connected at boot time	Qualcomm Atheros QCA9558	720	1	16	256	-	2	b/g/n	a/n/ac		Qualcomm Atheros QCA9558, Qualcomm Atheros QCA9984	-	-	http://en.comfast.com.cn/index.php?m=content&c=index&a=show&catid=17&id=55	cf-e385ac		View/Edit data
74	WiFi AP	COMFAST	CF-EW72		Available 2019	21.02.3		Qualcomm Atheros QCA9531-BL3A	650	1	16	128	2	-	b/g/n	a/n/ac	MIMO config	Qualcomm Atheros QCA9531, Qualcomm Atheros QCA9886	-	-	http://en.comfast.com.cn/index.php?m=content&c=index&a=show&catid=84&id=39	cf-ew72		View/Edit data
75	WiFi Router	COMFAST	CF-E560AC		Available 2020	21.02.3		Qualcomm Atheros QCA9531	650	1	16	128	7	-	b/g/n	a/n/ac		Qualcomm Atheros QCA9531, Qualcomm Atheros QCA9886	-	1x 2.0	https://comfastwifi.us/comfastcf-e560ac-1200mbps-wall-embedded-ap-router	cf-e560ac		View/Edit data
76	Range Extender	COMFAST	CF-WR752AC	v1	Available 2020	21.02.3		Qualcomm Atheros QCA9531	650	1	16	128	1	-	b/g/n	a/n/ac		Qualcomm Atheros QCA9531, Qualcomm Atheros QCA9886	-	-	http://en.comfast.com.cn/index.php?m=content&c=index&a=show&catid=14&id=50			View/Edit data
77	WiFi Router	COMFAST	CF-WR650AC	v2	Available 2019	21.02.3		Qualcomm Atheros QCA9558	720	1	16	256	-	5	b/g/n	a/n/ac		Qualcomm Atheros QCA9558, Qualcomm Atheros QCA9880	-	-	http://en.comfast.com.cn/index.php?m=content&c=index&a=show&catid=16&id=21			View/Edit data
78	WiFi AP	COMFAST	CF-E375AC		Available 2019	19.07.10		Qualcomm Atheros QCA9563	775	1	16	128	-	2	b/g/n	a/n/ac		Qualcomm Atheros QCA9563, Qualcomm Atheros QCA9886	-	-	http://en.comfast.com.cn/product/item-331.html			View/Edit data
79	Single Board Computer	Compex	WPJ563		Available 2020	21.02.3		Qualcomm Atheros QCA9563	775	1	16	128	-	2	b/g/n	-		Qualcomm Atheros QCA9563	-	-	http://www.compex.com.sg/product/wpj563/			View/Edit data
80	Single Board Computer	Compex	WPQ864		Available 2020	21.02.3	USB	Qualcomm Atheros IPQ8064	1400	2	256NAND, 32	1024	-	5	-	-		3x mini-PCIe	-	1x 3.0	http://www.compex.com.sg/product/wpq864/			View/Edit data
81	Single Board Computer	Compex	WPJ419		Available 2020	21.02.3		Qualcomm IPQ4019	710	4	128NAND, 32, microSD	256	-	2	b/g/n	a/n/ac		Qualcomm IPQ4019	-	1x 3.0	https://shop.compex.com.sg/wpj419.html	wpj419		View/Edit data
82	Single Board Computer	Compex	WPJ428		Available 2020	21.02.3		Qualcomm Atheros IPQ4028	628	4	128NAND, 32	256	-	2	b/g/n	a/n/ac	2x2 MIMO	Qualcomm Atheros IPQ4028	-	1x 3.0	https://compex.com.sg/shop/embedded-board/802-11ac/wpj428-2/	wpj428		View/Edit data
83	WiFi AP	CreatComm	TA8H		unknown 2020	external image		Qualcomm Atheros QCA9557	560	1	16	128	¿	2	b/g/n	a/n/ac		Qualcomm Atheros QCA9882	¿	¿	http://www.creatcomm.com/zh/indoor-wifi-ap_zh/ta8h_zh/			View/Edit data
84	WiFi AP	CreatComm	TA8K		Available 2020	external image		Quad-core ARM Cortex-A7 710 MHz	710	4	32	256	-	2	b/g/n	a/n/ac	MIMO 2*2	Qualcomm Atheros IPQ4028	-	-	http://www.creatcomm.com/zh/ta8k/			View/Edit data
85	WiFi AP	CreatComm	TA8KC		unknown 2020	external image		Quad-core ARM Cortex-A7 710 MHz	710	4	32	256	¿	2	b/g/n	a/n/ac	MIMO 2*2	Qualcomm Atheros IPQ4028	¿	¿	http://¿			View/Edit data
86	Single Board Computer	Creator	Ci40 (Marduk)	02KZ/5+	Available 2019	21.02.3		MIPS interAptiv cXT200	550	2	16, 512NAND, microSD	256	1	-	b/g/n	a/n/ac	2x2 MIMO	Imagination iE1000/D0, Skyworks SKY85806	-	1x OTG, 1x µUSB (power)	https://docs.creatordev.io/ci40/guides/hardware/	ci40_marduk_02kz_5		View/Edit data
87	WiFi AP	Crisis Innovation Lab	MeshPoint.One		unknown 2019	21.02.3		Qualcomm Atheros IPQ4018	700	4	128NAND, 8	256	-	2	b/g/n	a/n/ac		¿	-	¿	https://meshpointone.com/			View/Edit data
88	NAS	Ctera	C200	V2	unknown 2021	snapshot		Marvell 88F6707-A1	1200	1	256NAND	1024	-	1	-	-		-	-	2x 3.0	https://www.ctera.com/company/news/ctera-launches-cloudplug-and-c200-cloud-attached-storage-appliances/			View/Edit data
89	Single Board Computer	Cubitech	CubieBoard1		Available 2019	21.02.3		Allwinner A10	1000	1	4096NAND, microSD	1024	1	-	-	-		-	-	2x 2.0	http://cubieboard.org/model/cb1/	cubieboard		View/Edit data
90	Single Board Computer	Cubitech	CubieBoard2		Available 2019	21.02.3		Allwinner A20	1000	2	4096NAND, microSD	1024	1	-	-	-		-	-	2x 2.0		cubieboard2		View/Edit data
91	Single Board Computer	Cubitech	CubieBoard3 (Cubietruck)		Available 2019	21.02.3		Allwinner A20	1000	2	8192NAND, microSD	2048	-	1	b/g/n	-		Broadcom BCM4329	-	2x 2.0		cubietruck		View/Edit data
92	WiFi Router	Cudy	WR1300		Available 2021	21.02.3		MediaTek MT7621AT	880	2	16	128	-	5	b/g/n	a/n/ac		MediaTek MT7603E, MediaTek MT7612E	-	1x 3.0	http://www.cudytech.com/productinfo/90088.html			View/Edit data
93	WiFi Router	Cudy	WR2100		Available 2021	21.02.3		MediaTek MT7621A	880	2	16	128	-	5	b/g/n	a/n/ac		MediaTek MT7603E, MediaTek MT7615E	-	-	https://www.cudytech.com/productinfo/105182.html	cudy_wr2100_v1	https://forum.openwrt.org/t/anyone-work-with-cudy-wr2100/84314	View/Edit data
94	WiFi AP	D-Link	DAP-2610	A1	Available 2021	21.02.3		Qualcomm Atheros IPQ4018	717	4	16	256	-	1	b/g/n	a/n/ac		Qualcomm IPQ4018	-	-	https://eu.dlink.com/uk/en/products/dap-2610-wireless-ac1300-wave-2-dualband-poe-access-point	dap-2610		View/Edit data
95	WiFi AP	D-Link	DAP-2660	A1, A2	Available 2022	21.02.3		Qualcomm Atheros QCA9558	720	1	16	128	-	1	b/g/n	a/n/ac		Qualcomm Atheros QCA9557, Qualcomm Atheros QCA9882	-	-	https://eu.dlink.com/uk/en/products/dap-2660-wireless-ac1200-simultaneous-dual-band-poe-access-point	d-link_dap-2660		View/Edit data
